iter	RMSE
0	74471.84265
1	73130.69872
2	71494.05738
3	69893.10034
4	68509.32218
5	67125.08732
6	65803.26579
7	64560.15111
8	63392.00751
9	62145.32128
10	60972.01515
11	59787.36201
12	58697.17563
13	57595.36057
14	56615.16566
15	55594.24005
16	54603.32469
17	53731.0273
18	52876.7184
19	52073.7344
20	51211.72733
21	50461.33293
22	49648.28575
23	49024.05886
24	48299.8425
25	47586.37083
26	46954.77757
27	46301.27865
28	45667.27258
29	45087.79271
30	44487.92193
31	43908.84085
32	43376.0618
33	42815.71405
34	42343.97973
35	41872.21918
36	41419.98974
37	40888.53897
38	40417.40437
39	39970.84624
40	39531.11131
41	39040.60984
42	38608.06555
43	38165.02952
44	37803.11756
45	37436.47089
46	37080.78812
47	36734.118
48	36391.45715
49	36088.99827
50	35782.5418
51	35482.95744
52	35135.64437
53	34862.02403
54	34549.83352
55	34238.79037
56	33951.28159
57	33657.12768
58	33438.82393
59	33200.67421
60	32995.60839
61	32760.28573
62	32557.7393
63	32333.74206
64	32127.58476
65	31939.45003
66	31731.31743
67	31501.18424
68	31309.63877
69	31149.53296
70	30956.88175
71	30798.43564
72	30623.47283
73	30428.72633
74	30230.89094
75	30070.88948
76	29887.95582
77	29725.81229
78	29566.39468
79	29406.44123
80	29276.40707
81	29118.41949
82	28972.40051
83	28807.31
84	28663.07713
85	28498.74619
86	28392.56317
87	28282.31672
88	28154.49371
89	28016.17086
90	27904.63688
91	27783.16729
92	27647.32024
93	27519.60509
94	27391.0347
95	27269.80735
96	27190.13743
97	27071.79986
98	26962.09976
99	26857.12855
100	26768.52538
101	26670.22082
102	26566.42867
103	26471.23294
104	26381.48662
105	26294.45321
106	26203.41812
107	26106.40754
108	26010.94012
109	25934.13202
110	25853.70505
111	25765.94726
112	25695.96363
113	25617.55599
114	25542.08344
115	25466.87236
116	25398.37381
117	25322.52335
118	25246.88876
119	25177.9103
120	25101.81125
121	25030.22159
122	24971.24802
123	24895.38263
124	24834.36005
125	24776.33853
126	24721.75413
127	24657.66219
128	24601.88211
129	24538.21741
130	24476.93607
131	24423.11108
132	24371.22102
133	24324.63048
134	24280.83642
135	24224.72086
136	24179.74505
137	24130.18971
138	24074.9766
139	24020.0952
140	23976.67893
141	23928.74551
142	23873.7374
143	23822.81605
144	23772.51941
145	23716.99604
146	23664.1239
147	23617.32766
148	23573.0967
149	23527.71743
150	23473.16052
151	23417.66168
152	23370.84271
153	23330.27285
154	23288.46656
155	23248.80699
156	23201.72847
157	23161.49718
158	23122.69635
159	23077.31251
160	23035.07233
161	23001.33663
162	22960.65396
163	22917.88516
164	22882.04535
165	22842.34378
166	22806.71141
167	22768.64384
168	22736.72655
169	22699.56634
170	22658.68624
171	22623.95568
172	22585.20432
173	22544.85018
174	22507.07035
175	22463.53078
176	22425.63219
177	22383.5135
178	22347.52376
179	22317.85715
180	22285.19313
181	22253.49866
182	22213.5806
183	22180.80733
184	22146.61245
185	22114.73741
186	22081.63454
187	22048.66026
188	22020.08443
189	21989.8157
190	21962.30578
191	21915.16449
192	21884.01496
193	21858.78941
194	21823.04604
195	21790.09597
196	21763.66036
197	21739.56649
198	21709.39117
199	21677.80438
200	21650.64362
201	21622.70465
202	21591.35867
203	21569.77205
204	21540.11693
205	21515.64197
206	21489.79591
207	21458.40554
208	21432.67507
209	21413.35683
210	21391.19048
211	21350.98336
212	21327.15896
213	21304.70088
214	21269.22106
215	21248.06327
216	21219.90987
217	21196.3446
218	21158.6708
219	21127.04463
220	21096.88748
221	21070.57697
222	21044.34387
223	21023.802
224	21003.75116
225	20988.0182
226	20969.60235
227	20951.75987
228	20934.95203
229	20910.80509
230	20881.99901
231	20867.56923
232	20837.34892
233	20814.02258
234	20798.50123
235	20775.29385
236	20753.26724
237	20728.70773
238	20696.97984
239	20673.49345
240	20644.97448
241	20622.86031
242	20609.83313
243	20581.58706
244	20558.26908
245	20536.40686
246	20510.56427
247	20488.18016
248	20461.10513
249	20437.17756
250	20415.20077
251	20389.89838
252	20366.89194
253	20341.89427
254	20321.0873
255	20297.21577
256	20276.24341
257	20258.31558
258	20233.01207
259	20213.54418
260	20195.69328
261	20173.28924
262	20145.33706
263	20122.57366
264	20099.12919
265	20080.65768
266	20060.25738
267	20037.78364
268	20012.88823
269	19993.91221
270	19974.95929
271	19952.49035
272	19931.29797
273	19912.80908
274	19893.11597
275	19876.87223
276	19856.9773
277	19839.1951
278	19822.22019
279	19811.54454
280	19792.02856
281	19771.95017
282	19755.48296
283	19736.90266
284	19719.69542
285	19701.20173
286	19674.76254
287	19657.81316
288	19646.12862
289	19628.93112
290	19611.12033
291	19594.82211
292	19577.72964
293	19561.8484
294	19543.44701
295	19524.96106
296	19510.456
297	19495.65306
298	19484.23752
299	19464.49771
300	19441.26069
301	19424.77846
302	19404.57319
303	19390.12527
304	19375.5932
305	19361.11125
306	19346.88146
307	19336.54253
308	19321.84049
309	19310.0019
310	19277.89854
311	19266.47121
312	19246.4957
313	19233.15283
314	19213.72582
315	19197.9093
316	19184.29267
317	19167.23748
318	19154.38129
319	19139.40408
320	19121.84479
321	19112.36341
322	19098.42922
323	19075.45014
324	19062.77761
325	19048.27301
326	19037.09148
327	19017.33692
328	18988.67948
329	18979.68076
330	18967.83805
331	18954.09948
332	18935.66848
333	18913.34175
334	18894.77493
335	18877.46604
336	18865.67632
337	18853.12428
338	18833.95559
339	18816.34385
340	18804.39302
341	18786.47417
342	18774.50759
343	18758.81495
344	18749.94104
345	18735.92738
346	18721.02311
347	18709.80663
348	18698.40899
349	18684.93477
350	18664.36043
351	18647.14201
352	18636.112
353	18625.85755
354	18617.88611
355	18607.71419
356	18597.37589
357	18585.71573
358	18567.65074
359	18556.51742
360	18541.15481
361	18524.77208
362	18509.68465
363	18495.92673
364	18480.02169
365	18465.89737
366	18454.18751
367	18438.52353
368	18424.25105
369	18413.83487
370	18399.98989
371	18390.34482
372	18375.35808
373	18362.08627
374	18351.29598
375	18341.26977
376	18323.25033
377	18314.98784
378	18302.25038
379	18291.09214
380	18280.72157
381	18271.03184
382	18257.976
383	18249.08413
384	18233.6644
385	18225.87292
386	18212.27975
387	18198.23704
388	18184.40643
389	18179.03767
390	18169.74972
391	18159.55475
392	18150.2729
393	18143.13349
394	18134.20497
395	18126.34513
396	18109.60525
397	18098.1335
398	18085.53059
399	18073.47925
400	18060.76702
401	18050.23581
402	18041.54413
403	18033.38225
404	18018.61335
405	18007.17362
406	17995.56104
407	17987.06487
408	17975.71922
409	17967.41857
410	17958.14126
411	17945.29976
412	17936.02549
413	17927.82391
414	17916.61187
415	17908.43306
416	17900.74456
417	17889.02512
418	17881.61774
419	17869.72968
420	17858.04491
421	17849.03974
422	17833.41883
423	17821.83487
424	17813.08505
425	17805.76014
426	17797.85719
427	17779.9054
428	17769.90421
429	17759.7321
430	17748.6424
431	17735.7352
432	17723.63419
433	17715.72985
434	17707.39936
435	17695.4491
436	17684.56149
437	17676.94639
438	17669.49246
439	17660.07313
440	17648.15437
441	17638.53326
442	17629.10321
443	17619.43387
444	17611.61771
445	17596.90846
446	17590.50016
447	17583.32793
448	17573.82139
449	17559.85885
450	17552.52638
451	17542.40556
452	17535.06356
453	17522.09749
454	17513.45671
455	17503.56317
456	17497.67589
457	17489.85801
458	17480.72481
459	17472.91479
460	17463.66001
461	17457.14698
462	17447.74409
463	17438.39411
464	17430.03077
465	17423.67918
466	17418.07257
467	17409.37405
468	17403.90374
469	17390.25898
470	17382.15324
471	17375.04045
472	17367.36772
473	17358.9792
474	17351.22789
475	17341.81394
476	17335.22746
477	17329.59776
478	17321.00424
479	17315.7354
480	17299.23251
481	17283.83184
482	17275.44979
483	17269.1777
484	17260.27675
485	17247.80331
486	17242.58899
487	17236.3244
488	17225.2442
489	17218.86411
490	17210.59691
491	17202.53924
492	17193.87537
493	17186.34314
494	17180.2229
495	17171.42935
496	17166.44161
497	17151.52847
498	17143.69516
499	17137.08616
500	17122.11948
501	17116.58505
502	17102.31157
503	17096.47029
504	17085.08878
505	17079.45953
506	17073.61729
507	17066.25735
508	17060.89613
509	17053.87568
510	17045.9943
511	17032.15673
512	17023.33821
513	17016.14115
514	17008.59859
515	17000.49418
516	16994.11004
517	16987.28887
518	16976.98509
519	16964.36687
520	16957.01466
521	16943.84363
522	16931.60679
523	16923.96773
524	16918.54649
525	16910.85865
526	16900.46247
527	16891.76007
528	16886.96728
529	16880.99999
530	16864.05615
531	16857.84586
532	16852.82594
533	16846.91016
534	16841.79279
535	16836.82725
536	16832.38167
537	16826.98713
538	16820.90072
539	16811.76563
540	16802.3634
541	16789.82541
542	16782.40734
543	16777.25734
544	16770.26679
545	16763.67535
546	16757.79095
547	16751.04441
548	16746.07986
549	16738.53408
550	16733.70548
551	16726.00527
552	16719.34829
553	16713.29512
554	16706.56173
555	16696.22365
556	16680.97509
557	16675.93765
558	16670.46095
559	16665.81549
560	16657.57329
561	16648.44205
562	16637.1732
563	16631.16438
564	16624.8849
565	16619.288
566	16614.78072
567	16608.12305
568	16601.36179
569	16592.15604
570	16587.80526
571	16582.81764
572	16577.62265
573	16573.40451
574	16567.47329
575	16561.12965
576	16554.96227
577	16542.65448
578	16538.33213
579	16534.24046
580	16530.38233
581	16526.13388
582	16521.0207
583	16509.59182
584	16504.32135
585	16498.1646
586	16493.82604
587	16484.53057
588	16479.18783
589	16469.71918
590	16464.46598
591	16456.09038
592	16446.04835
593	16435.27292
594	16426.46084
595	16416.35337
596	16411.9921
597	16405.09679
598	16395.76125
599	16389.89711
600	16382.53825
601	16373.92153
602	16363.84034
603	16357.95257
