iter	RMSE
0	74328.50726
1	72972.36399
2	71603.07608
3	70048.36831
4	68671.26445
5	67209.5208
6	65829.24717
7	64565.94868
8	63342.09802
9	62174.7873
10	60966.30423
11	59797.30384
12	58721.31116
13	57687.00819
14	56745.99366
15	55756.47006
16	54884.06631
17	54016.31077
18	53096.52884
19	52255.22846
20	51411.3409
21	50630.95539
22	49860.66524
23	49191.87919
24	48456.29521
25	47842.81105
26	47158.78573
27	46508.99016
28	45894.28808
29	45249.27214
30	44754.12585
31	44200.93598
32	43636.20155
33	43066.23425
34	42531.19145
35	42039.10942
36	41581.26786
37	41089.94672
38	40599.15977
39	40147.7078
40	39653.55064
41	39270.5878
42	38815.89802
43	38429.8938
44	38095.38191
45	37711.7613
46	37391.06218
47	37017.79485
48	36696.40967
49	36366.7233
50	36013.74266
51	35753.63243
52	35457.32378
53	35170.92463
54	34862.93706
55	34589.26389
56	34333.66986
57	34077.63479
58	33805.66525
59	33577.88981
60	33333.99726
61	33105.97591
62	32849.21185
63	32627.05768
64	32434.23271
65	32235.82823
66	32043.06695
67	31840.57456
68	31645.38131
69	31446.19362
70	31227.72333
71	31031.9966
72	30872.44464
73	30654.19703
74	30520.11385
75	30349.38062
76	30202.18565
77	30039.71416
78	29879.61513
79	29704.16608
80	29536.45744
81	29384.91486
82	29238.60811
83	29093.54576
84	28953.18249
85	28817.54198
86	28675.95242
87	28553.89865
88	28409.52285
89	28274.80466
90	28139.42244
91	28009.70281
92	27880.59041
93	27764.36053
94	27642.47797
95	27532.24966
96	27412.88714
97	27315.05111
98	27211.19146
99	27095.01711
100	27013.24683
101	26917.77822
102	26815.30544
103	26722.85846
104	26645.26631
105	26551.14798
106	26464.93662
107	26381.60717
108	26288.39797
109	26197.84351
110	26118.50912
111	26033.76542
112	25944.08733
113	25869.79719
114	25796.86261
115	25733.97515
116	25657.25109
117	25576.39966
118	25509.42449
119	25444.29944
120	25371.51784
121	25299.25545
122	25231.15156
123	25164.46514
124	25092.53006
125	25023.05321
126	24957.62738
127	24908.36555
128	24848.82941
129	24791.23708
130	24737.88189
131	24675.55619
132	24623.66487
133	24566.3233
134	24515.68878
135	24461.72471
136	24405.58385
137	24343.28441
138	24286.38255
139	24231.3304
140	24188.28456
141	24143.69397
142	24104.32428
143	24052.39382
144	24005.97826
145	23966.97636
146	23886.02697
147	23833.44208
148	23767.08939
149	23725.22924
150	23686.14002
151	23647.56143
152	23602.41837
153	23551.47804
154	23505.61712
155	23463.32457
156	23414.7392
157	23366.92227
158	23331.9663
159	23290.21109
160	23247.95459
161	23210.24627
162	23161.77746
163	23121.47211
164	23081.55379
165	23045.19602
166	23007.64246
167	22965.42817
168	22926.51761
169	22889.85676
170	22862.9642
171	22838.93603
172	22805.19437
173	22771.15659
174	22714.44152
175	22675.34335
176	22643.69182
177	22611.50309
178	22580.36244
179	22542.62203
180	22502.37432
181	22466.3592
182	22429.99976
183	22395.02641
184	22363.01054
185	22331.45546
186	22295.7623
187	22249.43877
188	22216.30847
189	22183.43576
190	22152.28097
191	22119.20036
192	22091.11468
193	22061.02814
194	22035.76351
195	22004.94591
196	21974.66747
197	21932.93848
198	21906.50289
199	21872.38734
200	21843.89488
201	21824.56623
202	21784.10709
203	21745.9453
204	21725.48873
205	21695.62129
206	21663.34531
207	21636.3646
208	21600.18626
209	21567.62162
210	21530.24459
211	21499.25652
212	21477.5012
213	21443.30898
214	21409.36111
215	21379.16124
216	21355.65109
217	21332.33603
218	21304.39308
219	21277.89039
220	21234.9711
221	21207.12313
222	21191.64763
223	21163.87109
224	21122.86249
225	21108.09363
226	21093.90075
227	21068.73356
228	21039.91671
229	21012.53307
230	20997.02902
231	20965.2068
232	20948.23315
233	20931.84781
234	20916.28408
235	20886.38685
236	20873.88218
237	20846.90371
238	20834.91686
239	20802.18432
240	20771.43692
241	20760.00329
242	20733.20042
243	20710.0329
244	20672.54296
245	20647.36269
246	20633.78075
247	20604.14681
248	20593.2385
249	20569.27973
250	20546.12148
251	20512.45097
252	20486.48372
253	20458.41801
254	20432.45933
255	20408.93134
256	20396.2657
257	20385.97642
258	20363.1528
259	20336.59746
260	20308.67673
261	20276.6044
262	20252.23157
263	20231.03278
264	20201.26018
265	20189.18358
266	20165.91957
267	20144.61184
268	20119.22762
269	20109.41091
270	20089.03989
271	20063.79462
272	20042.96302
273	20014.75621
274	20005.29544
275	19985.98188
276	19973.58327
277	19953.75614
278	19931.35894
279	19908.89766
280	19897.97043
281	19861.89395
282	19843.21847
283	19832.80297
284	19811.93473
285	19791.12526
286	19777.5301
287	19755.02134
288	19728.05686
289	19706.82337
290	19688.56161
291	19671.82438
292	19663.33455
293	19641.9406
294	19623.62294
295	19602.95909
296	19583.53751
297	19565.17966
298	19556.92386
299	19537.38506
300	19519.22875
301	19499.60646
302	19491.62608
303	19475.36441
304	19451.11716
305	19440.89531
306	19431.93794
307	19414.72156
308	19390.57866
309	19370.23944
310	19353.8602
311	19337.9953
312	19328.1339
313	19312.62113
314	19295.23382
315	19287.98633
316	19271.73768
317	19262.45685
318	19247.31771
319	19230.76887
320	19209.28733
321	19180.5181
322	19163.25181
323	19149.06594
324	19130.52727
325	19116.29857
326	19106.58413
327	19090.49407
328	19070.78365
329	19056.32436
330	19045.42799
331	19032.2387
332	19020.33464
333	19006.26364
334	18982.31448
335	18967.86166
336	18950.58709
337	18936.85726
338	18919.37137
339	18912.75185
340	18894.58568
341	18881.26355
342	18864.56884
343	18851.24242
344	18844.86467
345	18835.32223
346	18822.96033
347	18808.58961
348	18795.64948
349	18785.2609
350	18775.46105
351	18760.56978
352	18748.23587
353	18740.68431
354	18721.95769
355	18707.65219
356	18693.48723
357	18679.72076
358	18667.17397
359	18643.43853
360	18630.29173
361	18623.05219
362	18609.00554
363	18592.74804
364	18579.67684
365	18563.55168
366	18557.88982
367	18546.0257
368	18532.49375
369	18515.16678
370	18501.18029
371	18481.83609
372	18468.3935
373	18462.90011
374	18447.18554
375	18432.96625
376	18420.37209
377	18412.23625
378	18395.6372
379	18381.64315
380	18370.05786
381	18358.07448
382	18352.87803
383	18341.98826
384	18331.85912
385	18321.12383
386	18316.11468
387	18304.68579
388	18289.64034
389	18276.61051
390	18269.33539
391	18259.06257
392	18245.1927
393	18234.65439
394	18222.61772
395	18211.45997
396	18206.74105
397	18194.27378
398	18181.45843
399	18170.34222
400	18157.19789
401	18146.67226
402	18135.83976
403	18125.83973
404	18114.47746
405	18102.90468
406	18097.00022
407	18086.58737
408	18082.15513
409	18069.62146
410	18055.47692
411	18046.17497
412	18039.36712
413	18022.17473
414	18007.25682
415	17994.2076
416	17984.66567
417	17974.96884
418	17965.27193
419	17952.46232
420	17943.0074
421	17926.16181
422	17915.16201
423	17908.92251
424	17899.43871
425	17886.46819
426	17877.52123
427	17869.02074
428	17858.56275
429	17849.75296
430	17844.22417
431	17830.09985
432	17821.03807
433	17809.35241
434	17805.34273
435	17794.61327
436	17782.30579
437	17772.90616
438	17761.46495
439	17756.34904
440	17747.00877
441	17734.25575
442	17718.98282
443	17713.42594
444	17703.64083
445	17689.99333
446	17670.53617
447	17664.3761
448	17655.91673
449	17645.08583
450	17631.56669
451	17623.16726
452	17614.15394
453	17604.93281
454	17596.45172
455	17584.04794
456	17575.9164
457	17565.00491
458	17555.69127
459	17537.54544
460	17529.12931
461	17520.76421
462	17517.0563
463	17507.58613
464	17503.27846
465	17491.57653
466	17482.12515
467	17470.86675
468	17462.9928
469	17459.53451
470	17449.75005
471	17441.3105
472	17430.40464
473	17420.78745
474	17409.27376
475	17402.14296
476	17398.81121
477	17389.17893
478	17381.51786
479	17372.70678
480	17362.86926
481	17353.71058
482	17343.23995
483	17333.14432
484	17323.50721
485	17319.09531
486	17310.08941
487	17299.25849
488	17279.05883
489	17272.01843
490	17253.23611
491	17245.13245
492	17236.63788
493	17228.30249
494	17220.24393
495	17212.47941
496	17201.79984
497	17193.4217
498	17186.49315
499	17175.79813
500	17171.95759
501	17164.21538
502	17156.29021
503	17149.53942
504	17145.8688
505	17138.97367
506	17131.97391
507	17118.06175
508	17111.15478
509	17101.93751
510	17095.99484
511	17085.81275
512	17079.5698
513	17068.99298
514	17065.52228
515	17056.45342
516	17047.77673
517	17038.54546
518	17033.31422
519	17020.57908
520	17003.24367
521	16998.57524
522	16992.37159
523	16985.78967
524	16977.67813
525	16969.01315
526	16961.30222
527	16953.12432
528	16948.53106
529	16941.87816
530	16936.38574
531	16927.95422
532	16920.71017
533	16912.2673
534	16904.84152
535	16892.70996
536	16887.47285
537	16881.52603
538	16873.148
539	16865.85682
540	16862.61065
541	16846.2413
542	16838.35394
543	16835.27428
544	16830.33509
545	16819.86818
546	16812.44008
547	16797.09457
548	16788.26744
549	16782.34663
550	16768.7871
551	16757.34203
552	16751.64059
553	16733.93974
554	16726.84251
555	16718.37588
556	16704.25182
557	16691.62237
558	16687.39631
559	16683.62271
560	16676.4982
561	16668.58053
562	16662.72506
563	16648.95001
564	16642.71295
565	16626.67361
566	16623.41802
567	16617.85739
568	16611.14713
569	16596.4231
570	16590.67307
571	16582.21655
572	16578.29535
573	16572.84626
574	16560.38039
575	16546.96113
576	16539.27586
577	16532.18505
578	16519.46157
579	16513.87156
580	16511.12114
581	16503.89382
582	16496.82991
583	16490.22031
584	16482.69571
585	16475.73893
586	16461.24589
587	16456.21303
588	16449.06115
589	16442.73801
590	16430.30762
591	16424.75769
592	16422.11375
593	16414.94605
594	16403.09337
595	16395.9579
596	16389.84906
597	16378.25212
598	16374.40776
599	16369.76122
600	16360.90719
601	16352.94045
602	16339.10169
603	16330.56932
604	16324.26013
605	16321.2178
606	16315.76218
607	16304.70112
608	16298.6551
609	16293.30596
610	16287.67237
611	16285.2127
612	16272.97038
613	16268.02594
614	16256.76431
615	16249.95706
616	16241.74067
617	16236.34931
618	16231.61237
619	16224.81764
620	16217.01826
621	16211.21026
622	16200.13475
623	16193.95666
624	16186.38865
625	16174.3746
626	16172.02947
627	16166.19906
628	16157.8902
629	16150.55838
630	16144.24662
631	16139.22036
632	16131.78158
633	16119.41675
634	16117.16492
635	16112.37403
636	16107.94497
637	16097.68111
638	16092.99027
639	16087.01912
640	16074.39146
641	16064.84132
642	16059.43336
643	16054.01543
644	16049.17982
645	16044.72283
646	16038.12475
647	16033.79668
648	16031.71419
649	16020.76701
650	16015.24907
651	16009.25566
652	16003.51501
653	16001.54308
654	15995.68935
655	15989.08958
656	15982.91001
657	15975.70297
658	15965.16294
659	15958.49402
660	15950.99171
661	15942.0745
662	15939.1484
663	15934.59828
664	15928.97383
665	15926.35302
666	15914.40678
667	15907.55054
668	15900.93002
669	15891.09744
670	15881.5765
671	15873.96711
672	15869.44448
673	15860.52161
674	15855.85667
675	15851.62851
676	15845.63298
677	15839.70886
678	15834.47201
679	15829.91621
680	15824.5807
681	15819.24606
682	15813.1401
683	15806.65874
684	15800.23688
685	15789.4602
686	15779.12592
687	15776.39752
688	15772.26006
689	15763.37767
690	15761.55805
691	15751.33242
692	15747.63517
693	15741.59442
694	15737.29153
695	15732.32357
696	15725.88056
697	15720.37659
698	15711.17788
699	15702.67407
700	15700.93807
701	15699.27864
702	15693.40967
703	15689.12193
704	15685.5915
705	15681.52391
706	15675.97374
707	15670.41765
708	15667.54856
709	15659.444
710	15654.02817
711	15648.7423
712	15644.98847
713	15639.61413
714	15633.56587
715	15628.49181
716	15623.12216
717	15618.03973
718	15615.89175
719	15608.25436
720	15602.57465
721	15596.97939
722	15587.59567
723	15586.025
724	15581.93023
725	15577.72124
726	15571.69219
727	15567.12043
728	15563.535
729	15558.08589
730	15554.81468
731	15549.84943
732	15544.15734
733	15540.71926
734	15533.71422
735	15531.70917
736	15526.29435
737	15521.72741
738	15516.08693
739	15511.54375
740	15502.68757
741	15494.39691
742	15490.31893
743	15486.07894
744	15481.01582
745	15477.05515
746	15472.43131
747	15468.30959
748	15463.61832
749	15458.5205
750	15453.76128
751	15449.54897
752	15447.6783
753	15444.09746
754	15435.77094
755	15432.1068
756	15426.79522
757	15421.59947
758	15417.81871
759	15413.64804
760	15405.84523
761	15397.32552
762	15392.13041
763	15389.03356
764	15383.37317
765	15379.02208
766	15374.91071
767	15370.04411
768	15365.87981
769	15363.67592
770	15355.4764
771	15350.13742
772	15344.55226
773	15336.60852
774	15330.83864
775	15327.55236
776	15321.8131
777	15317.40919
778	15312.98464
779	15305.24906
780	15303.88089
781	15296.08018
782	15291.80313
783	15289.08245
784	15284.10442
785	15279.16257
786	15275.2974
787	15271.65191
788	15267.23708
789	15264.14059
790	15262.37183
791	15257.20168
792	15252.60225
793	15248.47183
794	15242.14891
795	15236.28482
796	15232.02498
797	15227.41604
798	15225.73481
799	15218.41176
800	15216.76187
801	15206.33469
802	15199.17763
803	15195.76709
804	15188.83717
805	15185.01029
806	15181.39146
807	15178.21337
808	15175.61045
809	15170.07397
810	15165.94818
811	15160.0427
812	15155.52245
813	15149.69667
814	15145.05237
815	15141.63771
816	15136.23488
817	15133.59211
818	15129.19225
819	15124.32493
820	15119.20126
821	15112.07625
822	15108.54546
823	15104.6205
824	15103.06757
825	15100.69994
826	15097.52075
827	15094.10465
828	15089.80663
829	15086.68923
830	15081.44075
831	15077.09387
832	15072.08537
833	15070.49842
834	15060.97488
835	15057.2822
836	15053.18096
837	15049.18455
838	15044.1323
839	15037.42335
840	15033.2772
841	15030.90973
842	15027.58643
843	15024.93191
844	15021.85563
845	15020.33408
846	15016.22116
847	15011.60425
848	15006.91911
849	15004.43757
850	15000.71868
851	14995.48562
852	14989.17167
853	14985.41081
854	14978.53548
855	14975.97688
856	14971.36974
857	14967.61311
858	14965.14835
859	14961.34699
860	14956.07729
861	14951.36724
862	14949.88548
863	14945.55458
864	14941.84013
865	14938.30963
866	14936.06671
867	14931.26841
868	14928.42725
869	14924.74319
870	14921.05047
871	14918.78796
872	14912.79595
873	14911.33769
874	14908.02248
875	14903.8388
876	14900.7617
877	14896.23801
878	14892.22492
879	14885.86203
880	14881.69242
881	14875.35001
882	14872.21231
883	14867.31153
884	14863.11007
885	14856.63315
886	14850.91404
887	14849.51405
888	14846.81691
889	14842.45511
890	14840.15514
891	14835.46955
892	14832.02576
893	14826.76834
894	14821.05012
895	14817.53757
896	14814.86785
897	14811.69846
898	14806.72923
899	14801.63475
900	14797.93988
901	14795.07174
902	14791.88239
903	14785.63137
904	14783.43825
905	14778.59604
906	14775.0292
907	14771.24229
908	14765.9595
909	14761.54
910	14760.19895
911	14756.87542
912	14753.81709
913	14750.67248
914	14746.5049
915	14743.43681
916	14739.97737
917	14733.59791
918	14731.13346
919	14728.64286
920	14722.40585
921	14718.73423
922	14713.09687
923	14710.32869
924	14709.01781
925	14704.10343
926	14698.48863
927	14697.2288
928	14694.99289
929	14690.44119
930	14685.03932
931	14682.57041
932	14678.3467
933	14675.64865
934	14672.72049
935	14670.35797
936	14666.39148
937	14661.03227
938	14655.77257
939	14652.03059
940	14648.52493
941	14643.79965
942	14641.06039
943	14639.56142
944	14634.33514
945	14633.53022
946	14630.52267
947	14628.14169
948	14625.54738
949	14622.79459
950	14617.90644
951	14613.54331
952	14610.18447
953	14606.98021
954	14604.84397
955	14600.17618
956	14596.31385
957	14593.85528
958	14588.71126
959	14585.15534
960	14581.51879
961	14576.61963
962	14573.64998
963	14570.5546
964	14567.34687
965	14565.29101
966	14562.23662
967	14559.10993
968	14556.75378
969	14552.55015
970	14550.29889
971	14548.92833
972	14543.68722
973	14542.90718
974	14540.03257
975	14536.63844
976	14535.75588
977	14531.95228
978	14528.21854
979	14526.10873
980	14518.90647
981	14516.77571
982	14513.82507
983	14510.83487
984	14506.85782
985	14504.90836
986	14500.90698
987	14496.80764
988	14492.59499
989	14487.67133
990	14484.58521
991	14483.37812
992	14480.37146
993	14475.95226
994	14473.76508
995	14471.00656
996	14467.40986
997	14464.56247
998	14461.4266
999	14458.11583
1000	14453.70231
1001	14450.08567
1002	14446.65426
1003	14443.91979
1004	14441.0328
1005	14437.65217
