iter	Passed	Remaining
0	1	4991
1	1	3420
2	2	2834
3	2	2459
4	2	2300
5	3	2217
6	3	2089
7	4	2010
8	4	1941
9	4	1878
10	5	1840
11	5	1799
12	5	1782
13	6	1758
14	6	1744
15	6	1724
16	7	1841
17	8	1854
18	8	1831
19	9	1823
20	9	1839
21	10	1819
22	10	1799
23	10	1783
24	11	1763
25	11	1750
26	11	1742
27	12	1730
28	12	1724
29	13	1755
30	13	1749
31	14	1751
32	14	1743
33	15	1750
34	15	1746
35	16	1761
36	16	1751
37	16	1743
38	17	1737
39	17	1731
40	17	1724
41	18	1726
42	18	1724
43	19	1722
44	19	1715
45	20	1722
46	20	1716
47	20	1713
48	21	1714
49	21	1716
50	22	1733
51	22	1744
52	23	1741
53	23	1745
54	24	1740
55	24	1744
56	25	1747
57	25	1744
58	26	1744
59	26	1741
60	27	1748
61	27	1745
62	27	1741
63	28	1741
64	28	1744
65	29	1744
66	29	1744
67	30	1741
68	30	1746
69	31	1743
70	31	1757
71	32	1762
72	32	1761
73	33	1759
74	33	1757
75	34	1762
76	34	1764
77	35	1775
78	35	1781
79	36	1777
80	36	1777
81	37	1781
82	37	1783
83	38	1786
84	38	1781
85	39	1776
86	39	1775
87	40	1781
88	40	1776
89	40	1772
90	41	1770
91	41	1772
92	42	1768
93	42	1774
94	43	1783
95	43	1783
96	44	1783
97	44	1781
98	45	1779
99	45	1779
100	45	1774
101	46	1773
102	46	1778
103	47	1786
104	48	1786
105	48	1784
106	49	1784
107	49	1782
108	49	1782
109	50	1778
110	50	1775
111	51	1771
112	51	1769
113	51	1768
114	52	1765
115	52	1767
116	53	1763
117	53	1760
118	54	1763
119	54	1764
120	55	1765
121	55	1761
122	55	1764
123	56	1761
124	56	1761
125	57	1758
126	57	1756
127	58	1757
128	58	1755
129	58	1753
130	59	1752
131	59	1751
132	60	1750
133	60	1749
134	61	1747
135	61	1746
136	61	1745
137	62	1749
138	63	1753
139	63	1755
140	64	1754
141	65	1771
142	65	1768
143	65	1764
144	66	1761
145	66	1759
146	67	1759
147	67	1760
148	68	1758
149	68	1761
150	69	1761
151	69	1762
152	69	1759
153	70	1756
154	70	1756
155	71	1754
156	71	1753
157	72	1753
158	72	1750
159	72	1749
160	73	1754
161	74	1754
162	74	1754
163	75	1756
164	75	1760
165	76	1764
166	77	1767
167	77	1766
168	77	1764
169	78	1761
170	78	1762
171	79	1761
172	79	1758
173	79	1756
174	80	1758
175	81	1762
176	81	1766
177	82	1764
178	82	1762
179	82	1761
180	83	1760
181	83	1759
182	84	1757
183	84	1757
184	85	1756
185	85	1755
186	86	1758
187	86	1759
188	87	1758
189	87	1756
190	88	1755
191	88	1754
192	88	1753
193	89	1753
194	89	1755
195	90	1757
196	90	1755
197	91	1754
198	91	1752
199	92	1753
200	92	1752
201	93	1751
202	93	1751
203	94	1750
204	94	1748
205	94	1747
206	95	1746
207	95	1744
208	96	1743
209	96	1742
210	97	1742
211	97	1740
212	97	1740
213	98	1739
214	98	1740
215	99	1740
216	99	1738
217	100	1736
218	100	1734
219	100	1734
220	101	1736
221	102	1737
222	102	1738
223	103	1740
224	103	1739
