iter	RMSE
0	72915.20524
1	71331.31639
2	69743.41806
3	68329.26928
4	66913.64448
5	65536.0676
6	64243.27272
7	62938.93298
8	61703.98419
9	60525.89349
10	59380.09799
11	58461.33834
12	57508.11904
13	56552.66751
14	55561.21223
15	54744.04727
16	53826.7304
17	52842.12265
18	51968.13411
19	51152.01182
20	50300.7345
21	49543.91853
22	48735.59534
23	47971.21434
24	47299.60341
25	46646.99596
26	45983.9371
27	45323.09277
28	44703.90147
29	44145.85707
30	43602.45691
31	43102.64113
32	42523.32138
33	42073.28224
34	41577.88042
35	41045.31706
36	40554.82843
37	40061.13297
38	39615.52635
39	39170.84334
40	38728.83615
41	38343.36637
42	37965.07521
43	37585.56502
44	37205.78401
45	36823.04008
46	36487.96448
47	36139.61934
48	35823.80193
49	35509.79492
50	35222.69327
51	34876.85902
52	34565.44089
53	34297.19675
54	34055.05884
55	33813.32251
56	33538.37354
57	33302.01494
58	33030.93303
59	32761.93775
60	32529.7669
61	32318.34809
62	32092.04306
63	31880.28132
64	31693.93627
65	31480.0543
66	31297.07711
67	31119.48648
68	30930.12518
69	30747.43677
70	30572.07943
71	30408.3027
72	30229.56387
73	30054.99884
74	29857.4315
75	29711.1823
76	29565.10041
77	29403.39374
78	29236.00268
79	29105.86949
80	28950.18954
81	28818.88232
82	28654.94992
83	28515.31009
84	28372.81184
85	28271.86999
86	28158.07602
87	28039.74918
88	27920.87111
89	27801.04276
90	27665.96025
91	27549.54774
92	27415.49637
93	27285.50832
94	27164.50992
95	27048.91157
96	26942.25726
97	26830.33145
98	26730.85429
99	26635.32095
100	26535.33191
101	26451.07465
102	26371.78489
103	26276.96287
104	26181.80441
105	26088.89095
106	25988.58027
107	25900.94838
108	25816.64796
109	25730.30391
110	25647.13607
111	25566.46332
112	25487.10813
113	25410.50353
114	25327.7711
115	25259.89216
116	25190.07504
117	25108.86491
118	25031.13861
119	24974.51924
120	24907.40384
121	24837.52594
122	24767.61908
123	24698.64273
124	24626.78542
125	24559.62612
126	24506.4915
127	24455.26959
128	24393.68336
129	24333.88042
130	24257.40009
131	24201.55685
132	24155.83455
133	24103.22641
134	24046.94317
135	23995.28876
