iter	Passed	Remaining
0	0	2443
1	1	2268
2	1	2270
3	2	2312
4	2	2371
5	3	2372
6	4	2321
7	4	2261
8	5	2258
9	5	2269
10	6	2247
11	6	2218
12	7	2189
13	7	2168
14	8	2146
15	8	2133
16	9	2114
17	9	2101
18	10	2096
19	10	2085
20	10	2074
21	11	2064
22	11	2055
23	12	2050
24	12	2043
25	13	2037
26	13	2028
27	14	2024
28	14	2020
29	15	2021
30	15	2017
31	16	2013
32	16	2008
33	17	2000
34	17	1996
35	18	1990
36	18	1988
37	19	1983
38	19	1981
39	19	1978
40	20	1974
41	20	1969
42	21	1965
43	21	1964
44	22	1960
45	22	1956
46	23	1953
47	23	1951
48	24	1947
49	24	1945
50	25	1944
51	25	1943
52	26	1940
53	26	1936
54	26	1935
55	27	1932
56	27	1931
57	28	1928
58	28	1926
59	29	1925
60	29	1924
61	30	1922
62	30	1919
63	31	1916
64	31	1916
65	32	1914
66	32	1913
67	33	1912
68	33	1911
69	34	1909
70	34	1907
71	34	1905
72	35	1904
73	35	1903
74	36	1901
75	36	1899
76	37	1898
77	37	1897
78	38	1896
79	38	1894
80	39	1893
81	39	1893
82	40	1892
83	40	1890
84	41	1889
85	41	1887
86	41	1887
87	42	1886
88	42	1886
89	43	1885
90	43	1884
91	44	1883
92	44	1883
93	45	1882
94	45	1881
95	46	1880
96	46	1879
97	47	1878
98	47	1878
99	48	1876
100	48	1876
101	49	1875
102	49	1874
103	50	1873
104	50	1872
105	50	1870
106	51	1868
107	51	1867
108	52	1867
109	52	1867
110	53	1865
111	53	1863
112	54	1863
113	54	1863
114	55	1863
115	55	1862
116	56	1862
117	56	1861
118	57	1860
119	57	1860
120	58	1859
121	58	1858
122	58	1857
123	59	1857
124	59	1856
125	60	1855
126	60	1854
127	61	1853
128	61	1852
129	62	1852
130	62	1851
131	63	1850
132	63	1849
133	64	1848
134	64	1847
135	64	1846
136	65	1846
137	65	1844
138	66	1843
139	66	1842
140	67	1842
141	67	1841
142	68	1840
143	68	1840
144	69	1840
145	69	1839
146	70	1838
147	70	1837
148	71	1836
149	71	1835
150	71	1834
151	72	1833
152	72	1833
153	73	1832
154	73	1831
155	74	1832
156	74	1831
157	75	1830
158	75	1829
159	76	1829
160	76	1827
161	77	1827
162	77	1826
163	78	1825
164	78	1825
165	79	1824
166	79	1823
167	79	1822
168	80	1820
169	80	1819
170	81	1818
171	81	1817
172	82	1817
173	82	1816
174	83	1815
175	83	1814
176	83	1813
177	84	1813
178	84	1813
179	85	1813
180	85	1812
181	86	1811
182	86	1810
183	87	1809
184	87	1808
185	88	1807
186	88	1807
187	89	1806
188	89	1805
189	89	1804
190	90	1804
191	90	1802
192	91	1802
193	91	1801
194	92	1800
195	92	1799
196	93	1800
197	93	1800
198	94	1801
199	94	1801
200	95	1801
201	95	1800
202	96	1799
203	96	1800
204	97	1800
205	97	1801
206	98	1801
207	98	1800
208	99	1799
209	99	1798
210	100	1798
211	100	1798
212	101	1797
213	101	1797
214	102	1796
215	102	1795
216	102	1794
217	103	1794
218	103	1793
219	104	1793
220	104	1793
221	105	1792
222	105	1792
223	106	1791
224	106	1791
225	107	1790
226	107	1789
227	108	1789
228	108	1788
229	109	1788
230	109	1787
231	110	1786
232	110	1786
233	110	1785
234	111	1785
235	111	1784
236	112	1784
237	112	1783
238	113	1782
239	113	1782
240	114	1782
241	114	1781
242	115	1780
243	115	1779
244	116	1779
245	116	1779
246	117	1778
247	117	1777
248	117	1777
249	118	1777
250	118	1776
251	119	1775
252	119	1775
253	120	1774
254	120	1774
255	121	1773
256	121	1772
257	122	1772
258	122	1772
259	123	1772
260	123	1772
261	124	1771
262	124	1771
263	125	1771
264	125	1770
265	126	1769
266	126	1769
267	127	1769
268	127	1768
269	127	1768
270	128	1767
271	128	1767
272	129	1767
273	129	1766
274	130	1766
275	130	1767
276	131	1767
277	131	1767
278	132	1766
279	132	1766
280	133	1765
281	133	1764
282	134	1764
283	134	1764
284	135	1763
285	135	1763
286	136	1762
287	136	1762
288	137	1761
289	137	1760
290	138	1760
291	138	1759
292	139	1759
293	139	1758
294	139	1758
295	140	1757
296	140	1756
297	141	1756
298	141	1756
299	142	1756
300	142	1755
301	143	1755
302	143	1754
303	144	1753
304	144	1753
305	145	1752
306	145	1751
307	146	1751
308	146	1752
309	147	1751
310	147	1751
311	148	1750
312	148	1750
313	149	1749
314	149	1748
315	149	1748
316	150	1748
317	151	1748
318	151	1748
319	151	1747
320	152	1747
321	152	1746
322	153	1746
323	153	1745
324	154	1744
325	154	1744
326	155	1743
327	155	1743
328	156	1742
329	156	1741
330	157	1741
331	157	1740
332	158	1739
333	158	1739
334	158	1738
335	159	1738
336	159	1738
337	160	1738
338	160	1737
339	161	1736
340	161	1736
341	162	1735
342	162	1735
343	163	1734
344	163	1734
345	164	1733
346	164	1732
347	165	1732
348	165	1731
349	166	1731
350	166	1730
351	167	1731
352	167	1730
353	167	1730
354	168	1729
355	168	1729
356	169	1728
357	169	1728
358	170	1728
359	170	1728
360	171	1727
361	171	1727
362	172	1726
363	172	1726
364	173	1725
365	173	1725
366	174	1724
367	174	1723
368	175	1723
369	175	1723
370	176	1723
371	176	1722
372	177	1722
373	177	1721
374	178	1721
375	178	1720
376	178	1720
377	179	1719
378	179	1719
379	180	1718
380	180	1718
381	181	1717
382	181	1717
383	182	1716
384	182	1716
385	183	1716
386	183	1716
387	184	1715
388	184	1715
389	185	1714
390	185	1714
391	186	1714
392	186	1713
393	187	1712
394	187	1712
395	188	1711
396	188	1711
397	189	1711
398	189	1710
399	189	1709
400	190	1709
401	190	1708
402	191	1708
403	191	1707
404	192	1707
405	192	1707
406	193	1706
407	193	1706
408	194	1705
409	194	1705
410	195	1704
411	195	1704
412	196	1703
413	196	1703
414	197	1702
415	197	1702
416	198	1701
417	198	1701
418	199	1700
419	199	1700
420	199	1699
421	200	1699
422	200	1699
423	201	1698
424	201	1698
425	202	1697
426	202	1696
427	203	1696
428	203	1696
429	204	1695
430	204	1695
431	205	1694
432	205	1693
433	206	1693
434	206	1693
435	207	1692
436	207	1692
437	207	1691
438	208	1691
439	208	1690
440	209	1690
441	209	1689
442	210	1689
443	210	1689
444	211	1688
445	211	1688
446	212	1688
447	212	1687
448	213	1687
449	213	1686
450	214	1686
451	214	1686
452	215	1685
453	215	1685
454	216	1684
455	216	1684
456	217	1683
457	217	1683
458	218	1682
459	218	1682
460	219	1682
461	219	1681
462	220	1681
463	220	1681
464	221	1681
465	221	1680
466	222	1680
467	222	1680
468	223	1680
469	223	1680
470	224	1680
471	224	1679
472	225	1679
473	225	1679
474	226	1678
475	226	1678
476	227	1677
477	227	1677
478	228	1676
479	228	1676
480	229	1675
481	229	1675
482	230	1675
483	230	1674
484	231	1674
485	231	1674
486	231	1673
487	232	1672
488	232	1672
489	233	1671
490	233	1671
491	234	1670
492	234	1670
493	235	1669
494	235	1669
495	236	1668
496	236	1668
497	237	1667
498	237	1667
499	238	1666
500	238	1666
501	239	1665
502	239	1665
503	240	1665
504	240	1664
505	241	1664
506	241	1663
507	241	1663
508	242	1663
509	243	1662
510	243	1662
511	243	1661
512	244	1661
513	244	1660
514	245	1660
515	245	1659
516	246	1659
517	246	1658
518	247	1658
519	247	1657
520	248	1657
521	248	1656
522	249	1656
523	249	1655
524	250	1655
525	250	1654
526	250	1654
527	251	1653
528	251	1653
529	252	1652
530	252	1652
531	253	1651
532	253	1651
533	254	1650
534	254	1650
