iter	RMSE
0	74550.27807
1	73298.78137
2	71652.435
3	70090.74905
4	68617.11903
5	67275.56654
6	65967.13578
7	64834.35525
8	63542.27877
9	62424.90905
10	61339.48265
11	60184.80554
12	59070.55953
13	57931.74169
14	56875.80188
15	55904.35737
16	54902.83372
17	54122.94952
18	53254.78783
19	52464.92777
20	51599.41961
21	50698.1088
22	49946.32642
23	49215.85028
24	48533.94555
25	47880.25295
26	47195.69623
27	46497.90182
28	45845.62718
29	45202.46909
30	44597.57733
31	44061.71593
32	43549.38372
33	42973.10488
34	42455.64835
35	41993.05046
36	41472.18514
37	40990.91059
38	40506.85137
39	40023.46858
40	39532.29493
41	39129.19732
42	38724.31205
43	38323.90231
44	37887.37735
45	37511.5838
46	37162.73704
47	36824.6391
48	36476.34933
49	36147.76435
50	35809.79703
51	35510.98724
52	35169.00002
53	34873.85067
54	34572.78916
55	34271.10883
56	34015.88904
57	33739.06508
58	33518.59109
59	33287.52328
60	33039.16208
61	32809.20866
62	32567.55617
63	32318.28391
64	32087.27358
65	31887.77511
66	31693.99926
67	31517.45244
68	31302.0614
69	31116.81613
70	30897.91346
71	30724.01747
72	30533.35385
73	30363.14201
74	30197.75598
75	30040.47815
76	29872.77687
77	29709.01906
78	29558.10977
79	29380.77945
80	29244.15999
81	29095.94841
82	28946.20817
83	28802.26417
84	28670.06359
85	28547.96237
86	28409.20074
87	28246.29154
88	28124.24257
89	27998.91972
90	27865.561
91	27769.90905
92	27640.05206
93	27533.54498
94	27412.49255
95	27296.00223
96	27190.86316
97	27091.91687
98	26972.46751
99	26873.94482
100	26781.481
101	26691.93805
102	26608.82847
103	26523.3624
104	26432.56658
105	26344.30737
106	26251.59029
107	26155.94495
108	26067.47474
109	25943.80324
110	25870.96362
111	25787.02631
112	25698.60179
113	25629.35282
114	25544.06981
115	25465.19429
116	25383.34817
117	25306.17272
118	25230.76907
119	25162.15381
120	25087.45504
121	25017.64579
122	24963.61904
123	24880.50288
124	24815.75843
125	24743.02215
126	24680.14619
127	24625.79961
128	24562.14851
129	24493.15488
130	24438.75566
131	24378.63186
132	24318.50536
133	24249.7689
134	24202.67714
135	24141.90601
136	24087.22675
137	24034.76668
138	23993.83217
139	23947.36069
140	23865.90959
141	23811.50373
142	23763.07439
143	23716.52593
144	23665.1107
145	23620.53071
146	23567.56449
147	23516.43673
148	23479.73307
149	23436.02783
150	23383.51022
151	23339.04536
152	23288.69473
153	23239.53787
154	23190.08819
155	23153.8837
156	23108.0832
157	23066.54771
158	23022.3789
159	22969.42716
160	22935.75495
161	22900.99704
162	22851.59766
163	22805.82292
164	22769.26533
165	22727.71034
166	22690.84317
167	22653.93784
168	22624.44424
169	22568.09506
170	22525.38349
171	22496.83486
172	22458.71142
173	22421.41349
174	22396.33992
175	22359.46961
176	22328.27732
177	22289.93423
178	22257.41788
179	22218.69299
180	22183.31349
181	22149.21661
182	22116.1369
183	22083.09899
184	22048.55432
185	22017.95803
186	21986.99154
187	21954.58845
188	21924.32788
189	21890.59347
190	21862.63994
191	21834.70335
192	21807.34093
193	21781.52983
194	21754.92868
195	21715.26141
196	21684.11623
197	21650.92796
198	21619.06675
199	21584.92323
200	21552.71163
201	21528.29374
202	21504.47696
203	21471.46759
204	21435.79937
205	21412.44968
206	21387.61859
207	21363.62594
208	21331.83652
209	21301.22775
210	21270.59842
211	21245.08525
212	21214.68651
213	21186.28706
214	21159.66771
215	21132.50357
216	21107.50248
217	21063.43792
218	21033.86065
219	21003.65228
220	20975.33604
221	20952.74129
222	20925.01294
223	20897.14232
224	20877.72115
225	20858.87077
226	20831.58646
227	20807.34345
228	20789.92679
229	20771.29512
230	20743.66625
231	20715.26565
232	20699.4178
233	20684.38428
234	20655.3344
235	20634.07316
236	20615.21351
237	20588.10794
238	20570.6687
239	20543.52429
240	20516.33808
241	20491.38947
242	20464.69707
243	20449.34936
244	20426.465
245	20412.07157
246	20388.75096
247	20364.29266
248	20336.92746
249	20306.20636
250	20278.53748
251	20253.36976
252	20230.379
253	20207.13865
254	20180.93432
255	20160.02359
256	20136.02346
257	20100.45344
258	20070.47911
259	20049.2168
260	20030.6097
261	20006.16805
262	19982.84201
263	19960.3909
264	19937.27955
265	19916.01444
266	19896.35099
267	19873.1525
268	19860.44829
269	19842.30199
270	19820.58134
271	19797.87887
272	19776.41678
273	19754.62256
274	19735.71171
275	19717.19584
276	19698.02703
277	19679.40768
278	19660.36936
279	19645.13754
280	19624.9609
281	19607.16036
282	19589.12979
283	19571.75235
284	19551.83067
285	19540.46268
286	19523.67343
287	19506.51058
288	19477.72632
289	19464.91845
290	19448.09554
291	19429.92865
292	19416.06431
293	19400.50658
294	19381.43467
295	19365.41034
296	19346.95638
297	19328.99323
298	19306.27219
299	19291.59033
300	19274.54376
301	19259.07274
302	19241.54566
303	19224.0788
